"feature_name","variable_importance","module_membership"
"Donor_age",30.3688145270495,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",19.1031211317159,"grey"
"tubules_hc2_feat58",10.516975821951,"turquoise"
"KDPI_2024",8.13955037791077,"grey"
"tubules_hc3_feat58",7.08650070530753,"turquoise"
"glomeruli_hc4_feat12",4.52745022184066,"purple"
"glomeruli_hc4_feat18",4.12893638223928,"turquoise"
"Donor_height",4.1060971352711,"grey"
"arteries_hc4_feat56",4.03502258468524,"red"
"arteries_hc3_feat48",3.83598073343251,"turquoise"
"arteries_hc4_feat18",3.40416904657496,"turquoise"
"tubules_hc2_feat10",3.10559306196329,"turquoise"
"tubules_hc1_feat14",2.80480929016525,"grey"
"tubules_hc3_feat47",2.74375323931336,"turquoise"
"arteries_hc2_feat10",2.65643031049156,"turquoise"
"Expanded_criteria_donor",2.64456249636959,"grey"
"glomeruli_hc2_feat8",2.4802013072116,"grey"
"arteries_hc3_feat10",2.41055211829021,"turquoise"
"tubules_hc1_feat13",2.35571550816104,"grey"
"tubules_hc2_feat11",2.30307332002057,"turquoise"
"tubules_hc3_feat17",2.28921162676633,"grey"
"tubules_hc2_feat18",2.2034342790155,"turquoise"
"glomeruli_hc2_feat4",2.19338562441021,"grey"
"glomeruli_hc2_feat5",2.01232987256249,"grey"
"glomeruli_hc1_feat59",2.0073545423569,"turquoise"
"glomeruli_hc4_feat56",2.00636059107024,"purple"
"tubules_hc2_feat23",1.98928919884184,"grey"
"glomeruli_hc4_feat14",1.86960100112305,"grey"
"glomeruli_hc2_feat21",1.86655706318223,"lightgreen"
"arteries_hc4_feat15",1.86045127433958,"turquoise"
"arteries_hc2_feat11",1.76579636427999,"turquoise"
"tubules_hc2_feat15",1.72280200787132,"turquoise"
"tubules_hc2_feat26",1.71719647387922,"grey"
"tubules_hc2_feat12",1.68569220563183,"lightcyan"
"arteries_hc4_feat46",1.67988398717313,"midnightblue"
"tubules_hc4_feat58",1.60402583040614,"magenta"
"arteries_hc3_feat16",1.48297207594333,"grey"
"tubules_hc1_feat10",1.47566915381504,"turquoise"
"Donor_final_creatinine",1.40432709248325,"grey"
"tubules_hc3_feat11",1.39790528181664,"turquoise"
"scl_gloms_hc2_feat26",1.36138638154457,"grey"
"scl_gloms_hc2_feat23",1.34187594167969,"grey"
"glomeruli_hc2_feat52",1.32921972922351,"turquoise"
"tubules_hc2_feat13",1.30794404689251,"grey"
"glomeruli_hc4_feat58",1.30161567331787,"purple"
"arteries_hc1_feat3",1.2479647194503,"salmon"
"glomeruli_hc4_feat53",1.12829469184624,"purple"
"scl_gloms_hc1_feat46",1.04482760233764,"yellow"
"arteries_hc4_feat14",0.990810153566484,"grey"
"arteries_hc4_feat8",0.928550478543373,"grey"
"arteries_hc4_feat4",0.909332879700131,"grey"
"arteries_hc1_feat55",0.837733527467428,"salmon"
"Donor_Sex_0_Male_1_Female",0.837379792086296,"grey"
"scl_gloms_hc2_feat15",0.791381305201812,"brown"
"glomeruli_hc2_feat19",0.780490403549251,"royalblue"
"arteries_hc3_feat53",0.774903317521681,"tan"
"scl_gloms_hc1_feat59",0.765812354606755,"yellow"
"arteries_hc4_feat10",0.695165369751521,"turquoise"
"scl_gloms_hc2_feat27",0.614611123272648,"brown"
"scl_gloms_hc2_feat13",0.516050579724598,"grey"
"arteries_hc3_feat13",0.508008793408332,"grey"
"tubules_hc4_feat3",0.503179501765555,"grey60"
"scl_gloms_hc3_feat58",0.476867933261564,"greenyellow"
"tubules_hc4_feat49",0.418341344503161,"magenta"
"scl_gloms_hc2_feat53",0.333813503392461,"brown"
