"feature_name","variable_importance","module_membership"
"Donor_age",25.5318254783415,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",23.5425567899948,"grey"
"T_cluster4_feat15",8.87782936418005,"yellow"
"Donor_height",8.83637954812146,"grey"
"T_cluster4_feat11",8.45553636346155,"yellow"
"KDPI_2024",7.00725117521218,"grey"
"G_cluster1_feat61",6.90022255577346,"turquoise"
"G_cluster6_feat3",6.82909998230565,"turquoise"
"T_cluster8_feat72",6.6148553618246,"turquoise"
"T_cluster4_feat70",5.87943686672828,"turquoise"
"G_cluster6_feat61",5.03958247352702,"turquoise"
"T_cluster8_feat76",5.00556553725643,"turquoise"
"T_cluster4_feat16",4.68292249847265,"grey"
"Expanded_criteria_donor",4.19367679244713,"grey"
"G_cluster1_feat18",4.11017666049973,"yellow"
"G_cluster6_feat13",4.08571009941578,"grey"
"G_cluster6_feat23",3.97378756911633,"grey"
"G_cluster1_feat52",3.8516652923801,"turquoise"
"A_cluster1_feat75",3.49197267168629,"red"
"A_cluster2_feat61",3.18543465840575,"turquoise"
"A_cluster1_feat51",3.16434736853686,"pink"
"T_cluster6_feat49",3.09282121765406,"turquoise"
"G_cluster6_feat22",3.03495420550302,"grey"
"A_cluster1_feat53",2.94369313591085,"pink"
"A_cluster2_feat60",2.87631793213734,"yellow"
"T_cluster4_feat64",2.86280696607511,"turquoise"
"G_cluster1_feat54",2.71225355533709,"grey60"
"G_cluster6_feat66",2.56020829466264,"turquoise"
"A_cluster2_feat57",2.44036042756224,"turquoise"
"T_cluster8_feat9",2.40853586434072,"turquoise"
"A_cluster1_feat70",2.40687659188194,"pink"
"A_cluster2_feat69",2.356149721757,"turquoise"
"G_cluster7_feat12",2.3029510776607,"green"
"G_cluster6_feat26",2.27908478031956,"grey"
"G_cluster1_feat75",2.26093279195092,"turquoise"
"G_cluster6_feat57",2.147601242814,"turquoise"
"G_cluster1_feat68",2.09433332166129,"turquoise"
"G_cluster6_feat48",2.08132100072274,"turquoise"
"G_cluster1_feat73",2.06722672496129,"turquoise"
"T_cluster4_feat10",2.03474516491558,"yellow"
"T_cluster8_feat74",1.95434084832701,"turquoise"
"G_cluster6_feat75",1.6976501309394,"turquoise"
"G_cluster7_feat60",1.6930450971037,"green"
"A_cluster2_feat18",1.64408302490013,"yellow"
"A_cluster2_feat12",1.6068063674481,"turquoise"
"T_cluster4_feat74",1.60053905267682,"turquoise"
"G_cluster1_feat62",1.51130338504821,"grey60"
"G_cluster6_feat5",1.36447985782346,"grey"
"G_cluster6_feat51",1.34009520813499,"turquoise"
"G_cluster2_feat9",1.33619869712634,"brown"
"T_cluster4_feat49",1.32261676760156,"turquoise"
"A_cluster2_feat21",1.30551844600295,"turquoise"
"T_cluster4_feat21",1.24765331632937,"turquoise"
"G_cluster7_feat57",1.23306221691058,"green"
"T_cluster5_feat66",1.18588382480766,"midnightblue"
"G_cluster1_feat3",1.11006855740774,"turquoise"
"A_cluster1_feat48",1.04536015899534,"pink"
"G_cluster6_feat70",1.03218787319256,"turquoise"
"T_cluster4_feat19",1.0103233654135,"turquoise"
"G_cluster1_feat69",0.995455936847175,"turquoise"
"A_cluster2_feat59",0.953302179246988,"turquoise"
"G_cluster6_feat60",0.916668416924093,"turquoise"
"T_cluster8_feat69",0.889404573676723,"turquoise"
"G_cluster6_feat16",0.761592518116246,"grey"
"T_cluster8_feat67",0.746518285749327,"yellow"
"G_cluster1_feat11",0.657441391551244,"yellow"
"A_cluster2_feat64",0.632308998098301,"turquoise"
"G_cluster1_feat63",0.629629917584509,"grey60"
"T_cluster8_feat47",0.620699056567306,"turquoise"
"G_cluster6_feat18",0.601833721192835,"turquoise"
"T_cluster3_feat72",0.589947576643736,"lightgreen"
"G_cluster1_feat55",0.521104349646976,"turquoise"
"T_cluster4_feat12",0.493691797900204,"yellow"
"G_cluster2_feat52",0.478967734147486,"brown"
"G_cluster1_feat16",0.464910060743372,"grey"
"T_cluster8_feat58",0.459551200295706,"grey"
"T_cluster8_feat57",0.357686541498537,"turquoise"
"T_cluster4_feat68",0.337472469571304,"turquoise"
"G_cluster3_feat2",0.320806988604765,"purple"
"G_cluster7_feat3",0.285074407974784,"green"
"G_cluster3_feat23",0.235482855951281,"grey"
"T_cluster4_feat50",0.194137569944377,"turquoise"
"T_cluster5_feat58",0.174863919085386,"grey"
"T_cluster4_feat76",0.161103606107114,"turquoise"
"T_cluster2_feat1",0.11724446431054,"grey"
"A_cluster5_feat61",0.100556769107738,"magenta"
"T_cluster1_feat14",0.0602507264412666,"grey"
"G_cluster5_feat60",0.0505580796872355,"blue"
"T_cluster1_feat16",0.0366689678598144,"grey"
"A_cluster5_feat23",0.023551803606269,"grey"
"T_cluster1_feat1",0,"grey"
"T_cluster1_feat4",0,"grey"
"T_cluster1_feat7",0,"grey"
"T_cluster1_feat8",0,"grey"
"T_cluster1_feat12",0,"black"
"T_cluster1_feat15",0,"black"
"T_cluster2_feat54",-0.00154567132429666,"greenyellow"
"A_cluster4_feat54",-0.00730635016081851,"tan"
"G_cluster8_feat16",-0.204688448810448,"grey"
"G_cluster8_feat69",-0.740019633171594,"turquoise"
