"feature_name","variable_importance","module_membership"
"Donor_age",34.0057993804302,"grey"
"KDRI_2024",17.6506538326755,"grey"
"T_cluster5_feat72",15.3973878851957,"darkorange"
"KDPI_2024",13.5115501868724,"grey"
"A_cluster1_feat30",10.2839409024598,"lightgreen"
"A_cluster1_feat28",9.59109479380999,"lightgreen"
"A_cluster1_feat36",9.50052571457353,"lightgreen"
"A_cluster1_feat48",7.77321404032296,"lightgreen"
"A_cluster1_feat67",7.42578381272939,"lightgreen"
"G_cluster2_feat54",6.92626768892647,"brown"
"G_cluster1_feat37",6.75438364207239,"cyan"
"G_cluster8_feat54",6.52383618749382,"white"
"A_cluster1_feat32",5.53899459692065,"lightgreen"
"G_cluster1_feat11",5.37012286851714,"cyan"
"A_cluster1_feat35",5.2632879796041,"lightgreen"
"G_cluster7_feat47",4.99613002030354,"salmon"
"Biopsy_type_Allocation_0_Preimplantation_1",4.6573805162398,"grey"
"REMUZZI_GT1",4.48760199773669,"brown"
"T_cluster4_feat19",4.26020633699202,"blue"
"G_cluster8_feat32",4.24786722267559,"blue"
"G_cluster7_feat41",3.78581487647993,"salmon"
"A_cluster1_feat53",3.48229268706535,"lightgreen"
"A_cluster1_feat27",3.3445815833191,"lightgreen"
"A_cluster2_feat19",3.16924757163945,"turquoise"
"G_cluster7_feat14",3.16311468914654,"grey"
"T_cluster8_feat35",3.12388036832462,"turquoise"
"G_cluster7_feat71",3.0180237598455,"salmon"
"G_cluster2_feat9",2.95061837689041,"brown"
"A_cluster1_feat4",2.92431366775168,"grey"
"G_cluster8_feat67",2.84967380916471,"white"
"A_cluster2_feat64",2.79937789801853,"darkmagenta"
"T_cluster8_feat58",2.78483244136664,"grey"
"G_cluster8_feat48",2.6668511935161,"white"
"G_cluster2_feat50",2.47995912693218,"brown"
"G_cluster8_feat36",2.47352826635236,"white"
"G_cluster5_feat58",2.47149702493728,"red"
"T_cluster8_feat75",2.29894835143607,"cyan"
"G_cluster8_feat56",2.25747759802945,"white"
"A_cluster2_feat51",2.22429582528167,"blue"
"G_cluster1_feat28",1.42558196936072,"blue"
"Donor_weight_Kg",1.42523742406695,"grey"
"T_cluster5_feat66",1.11123025325766,"darkorange"
"G_cluster8_feat20",0.966639731463875,"white"
"G_cluster6_feat69",0.790014169364783,"paleturquoise"
"V_cluster2_feat59",0.675494657067105,"midnightblue"
"G_cluster6_feat16",0.564678916750858,"grey"
"T_cluster8_feat56",0.556089843061915,"turquoise"
"T_cluster5_feat67",0.48393260488952,"darkorange"
"G_cluster6_feat58",0.398161337010593,"grey"
"A_cluster4_feat46",0.292035571334463,"purple"
"T_cluster5_feat14",0.176095465864723,"grey"
"T_cluster1_feat55",0.0779719243590399,"lightcyan"
"T_cluster1_feat17",0.0452471863215455,"grey"
"T_cluster1_feat1",0.0294220391365392,"grey"
"Donor_Diabetes_History",0,"grey"
"Donation_after_Cardiac_Death_donor",0,"grey"
"G_cluster4_feat1",0,"grey"
"G_cluster4_feat2",0,"darkturquoise"
"G_cluster4_feat3",0,"darkturquoise"
"G_cluster4_feat4",0,"grey"
"G_cluster4_feat5",0,"grey"
"G_cluster4_feat6",0,"darkturquoise"
"G_cluster4_feat7",0,"grey"
"G_cluster4_feat8",0,"grey"
"G_cluster4_feat9",0,"darkturquoise"
"G_cluster4_feat10",0,"darkturquoise"
"G_cluster4_feat11",0,"darkturquoise"
"G_cluster4_feat12",0,"darkturquoise"
"G_cluster4_feat13",0,"grey"
"G_cluster4_feat14",0,"grey"
"G_cluster4_feat15",0,"darkturquoise"
"G_cluster4_feat16",0,"grey"
"G_cluster4_feat17",0,"grey"
"G_cluster4_feat18",0,"darkturquoise"
"G_cluster4_feat19",0,"darkturquoise"
"G_cluster4_feat20",0,"darkturquoise"
"G_cluster4_feat21",0,"darkturquoise"
"G_cluster4_feat22",0,"grey"
"G_cluster4_feat23",0,"grey"
"G_cluster4_feat24",0,"darkturquoise"
"G_cluster4_feat25",0,"grey"
"G_cluster4_feat26",0,"grey"
"G_cluster4_feat27",0,"darkturquoise"
"G_cluster4_feat28",0,"darkturquoise"
"G_cluster4_feat57",0,"grey"
"G_cluster4_feat58",0,"grey"
"G_cluster4_feat60",0,"grey"
"G_cluster4_feat77",0,"grey"
"T_cluster1_feat8",0,"grey"
"T_cluster1_feat9",0,"lightcyan"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat16",0,"grey"
"T_cluster1_feat19",0,"lightcyan"
"T_cluster1_feat48",0,"lightcyan"
"T_cluster1_feat56",0,"lightcyan"
"T_cluster1_feat7",-0.131866746667047,"grey"
"V_cluster5_feat55",-0.340911676941988,"yellowgreen"
"V_cluster6_feat15",-0.408461945532576,"yellow"
"V_cluster2_feat67",-0.409180617243897,"midnightblue"
"V_cluster3_feat41",-1.19351083526905,"black"
