"feature_name","variable_importance","module_membership"
"Donor_age",20.1639325268142,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",16.393141454047,"grey"
"T_cluster8_feat72",9.0756496602634,"turquoise"
"G_cluster6_feat3",8.72125864941218,"turquoise"
"T_cluster4_feat11",7.76088938619637,"green"
"Donor_height",7.37887447311835,"grey"
"T_cluster4_feat15",7.34633792242602,"green"
"G_cluster1_feat18",7.03132837738174,"green"
"G_cluster1_feat61",6.84170781471424,"turquoise"
"T_cluster8_feat76",5.65836860627649,"turquoise"
"T_cluster4_feat70",5.01608492455063,"turquoise"
"KDPI_2024",4.66810071754212,"grey"
"T_cluster4_feat64",4.04576839874092,"turquoise"
"A_cluster2_feat60",3.87515815049053,"green"
"A_cluster2_feat59",3.66574586633803,"turquoise"
"A_cluster1_feat75",3.54848770874745,"magenta"
"G_cluster6_feat60",3.48965151445038,"turquoise"
"T_cluster6_feat49",3.42183750173063,"turquoise"
"A_cluster2_feat57",3.29719265258822,"turquoise"
"A_cluster2_feat61",3.2385459971956,"turquoise"
"G_cluster6_feat23",3.22521263632693,"grey"
"T_cluster6_feat9",3.18017607287887,"turquoise"
"A_cluster1_feat70",3.16154036141697,"cyan"
"G_cluster1_feat54",3.09012867875213,"orange"
"A_cluster1_feat53",3.06619144777664,"cyan"
"G_cluster6_feat13",3.03636931153915,"grey"
"G_cluster1_feat75",2.97811798892563,"turquoise"
"G_cluster6_feat57",2.81316636665671,"turquoise"
"T_cluster4_feat10",2.79066234564915,"green"
"G_cluster6_feat22",2.74255235524277,"grey"
"T_cluster8_feat74",2.67200249937115,"turquoise"
"T_cluster4_feat13",2.60575387259346,"grey"
"G_cluster6_feat70",2.4954186317241,"turquoise"
"T_cluster5_feat21",2.45892089741132,"darkgrey"
"T_cluster6_feat8",2.35248847766698,"grey"
"T_cluster5_feat66",2.29571240464851,"darkgrey"
"G_cluster1_feat59",2.14444185037248,"turquoise"
"G_cluster1_feat24",2.1253005058002,"turquoise"
"G_cluster1_feat3",2.12312738050036,"turquoise"
"T_cluster6_feat57",2.03762116090535,"turquoise"
"G_cluster7_feat12",2.01407971401257,"yellow"
"G_cluster6_feat24",1.96341179743383,"turquoise"
"A_cluster2_feat69",1.9532624241929,"turquoise"
"G_cluster1_feat52",1.75522716843705,"turquoise"
"G_cluster6_feat75",1.72139280551897,"turquoise"
"G_cluster7_feat14",1.48236012419333,"grey"
"A_cluster2_feat18",1.36588411618234,"green"
"T_cluster4_feat18",1.28073125870058,"green"
"Expanded_criteria_donor",1.26151391475341,"grey"
"T_cluster8_feat58",1.26045243869121,"grey"
"G_cluster1_feat63",1.20716336389722,"orange"
"A_cluster1_feat49",1.18428360352088,"cyan"
"G_cluster2_feat70",1.17162616835852,"brown"
"G_cluster6_feat26",1.13730109648271,"grey"
"T_cluster8_feat57",1.10240401484618,"turquoise"
"Donor_Sex_0_Male_1_Female",1.0579495929839,"grey"
"G_cluster6_feat14",0.760675571558989,"grey"
"G_cluster2_feat16",0.757894593385354,"grey"
"T_cluster4_feat24",0.73208413154597,"turquoise"
"G_cluster6_feat7",0.696514790072335,"grey"
"G_cluster1_feat13",0.634434494608534,"grey"
"G_cluster1_feat11",0.631567385230148,"green"
"G_cluster2_feat9",0.548793514985933,"brown"
"G_cluster6_feat20",0.508087098749761,"turquoise"
"T_cluster4_feat16",0.504276162715298,"grey"
"A_cluster1_feat48",0.463366789792869,"cyan"
"T_cluster1_feat58",0.047135429539631,"grey"
"T_cluster1_feat7",0.0387406890861456,"grey"
"T_cluster2_feat3",0.0240919568096448,"darkred"
"T_cluster2_feat76",0.0213511897824795,"darkred"
"T_cluster2_feat72",0.00416537883966076,"darkred"
"T_cluster1_feat24",0.00059170630474098,"grey60"
"T_cluster1_feat13",0,"grey"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat17",0,"grey"
"T_cluster1_feat20",0,"grey60"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat23",0,"grey"
"T_cluster1_feat25",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat60",0,"grey"
"T_cluster1_feat61",0,"grey60"
"T_cluster1_feat63",0,"grey60"
"T_cluster1_feat65",0,"grey60"
"T_cluster1_feat68",0,"grey60"
"T_cluster1_feat74",0,"grey60"
"T_cluster1_feat76",0,"grey60"
"T_cluster1_feat77",0,"grey"
"T_cluster7_feat1",0,"grey"
"T_cluster7_feat2",0,"lightgreen"
"T_cluster7_feat3",0,"lightgreen"
"T_cluster7_feat4",0,"grey"
"T_cluster7_feat5",0,"grey"
"T_cluster7_feat6",0,"lightgreen"
"T_cluster7_feat7",0,"grey"
"T_cluster1_feat10",-0.000274531076475649,"grey60"
"T_cluster2_feat64",-0.00139603991457328,"darkred"
"T_cluster4_feat76",-0.0108509378489749,"turquoise"
"T_cluster2_feat22",-0.0722038841030749,"grey"
"G_cluster2_feat21",-0.764192595894048,"brown"
