"Number of MRMR features","Outcome","Number of training subjects","Lasso","Ridge","Elastic net","Random forest","KDPI"
"1","DGF","112",0.585096336671314,0.592934782608696,0.585096336671314,0.665257083536883,0.535028872282609
"2","DGF","112",0.516304347826087,0.505978260869565,0.514673913043478,0.876902173913043,0.47308561309233
"3","DGF","112",0.690400428614459,0.684628897672376,0.690449172980229,0.899181865909621,0.522369971796772
"4","DGF","112",0.7375,0.730702486308533,0.742407799240097,0.917226428920371,0.517929435327059
"5","DGF","112",0.770574712643678,0.78054457619675,0.773594642072903,0.909510869565217,0.529880324989021
"6","DGF","112",0.776630434782609,0.759798026518656,0.779891304347826,0.923390151515151,0.518672030707906
"7","DGF","112",0.783215130023641,0.801358695652174,0.784867190767944,0.92554347826087,0.517990808363479
"8","DGF","112",0.795675636475326,0.809163197051396,0.806922485726834,0.917011816804016,0.527267397642287
"9","DGF","112",0.816236778517958,0.820401342632049,0.817378279814341,0.919021739130435,0.512075705568269
"10","DGF","112",0.797658595140106,0.813341979578393,0.802990232411884,0.925,0.546905104747421
"11","DGF","112",0.796798461200635,0.807412619030044,0.80387022397892,0.926205802240724,0.525923295454546
"12","DGF","112",0.814559301981662,0.432073159848647,0.808261383492651,0.944157608695652,0.520217736876243
"13","DGF","112",0.812426228895861,0.829079140205178,0.821407638255464,0.936548913043478,0.534929318917669
"14","DGF","112",0.814653785772391,0.827308255984367,0.820108695652174,0.938315217391304,0.532727003845016
"15","DGF","112",0.836522412676743,0.844927507994113,0.841286942093855,0.927363564311594,0.541016499767609
"16","DGF","112",0.827780487699635,0.834773863068466,0.833285984848485,0.936684782608696,0.522871376811594
"17","DGF","112",0.829462640958313,0.825444121363097,0.829796653639472,0.938858695652174,0.511091692016576
"18","DGF","112",0.819370667752338,0.817602657004831,0.81274178491066,0.927038043478261,0.52958710861816
"19","DGF","112",0.816375655257478,0.827234964193186,0.804604137604085,0.935461956521739,0.526825600641595
"20","DGF","112",0.840638434151012,0.842681303394934,0.826828619015674,0.946059782608696,0.525650323058285
"21","DGF","112",0.838698521774432,0.833166842783428,0.834182678087958,0.947010869565217,0.513115700355053
"22","DGF","112",0.822430550429369,0.825551998423709,0.822495888580532,0.939809782608696,0.522448766295816
"23","DGF","112",0.838275063499178,0.847061746406127,0.822802552375497,0.94375,0.538486740672217
"24","DGF","112",0.840249045012778,0.847455416795148,0.824045747554968,0.940489130434783,0.520439852959818
"25","DGF","112",0.836234688383363,0.851075378718323,0.821889250687156,0.94320652173913,0.531205894193426
"26","DGF","112",0.834146492094862,0.838964177596017,0.819984841762792,0.948369565217391,0.522008916506199
"27","DGF","112",0.831915207635151,0.836186127297176,0.820651665038267,0.943129666227492,0.522144447047798
"28","DGF","112",0.827090147554929,0.85649154589372,0.826981361051286,0.945923913043478,0.526224387806097
"29","DGF","112",0.825620333772508,0.84445080932846,0.826034014438338,0.940489130434783,0.540765076053305
"30","DGF","112",0.828970706640144,0.858615167466925,0.84331338544211,0.949048913043478,0.516784799060565
"31","DGF","112",0.845527530695603,0.854039694699807,0.833715480244976,0.947743649242794,0.522289504557894
"32","DGF","112",0.843400542636483,0.863107295783926,0.839355362015229,0.943342391304348,0.516854405368636
"33","DGF","112",0.848954216073781,0.869439420781969,0.851452231343536,0.946467391304348,0.518894554696805
"34","DGF","112",0.83723336851424,0.866283790728749,0.84867399305561,0.943614130434783,0.528252035940234
"35","DGF","112",0.831126278262501,0.854633286791141,0.838405028173519,0.945108695652174,0.522178154587205
