"Number of MRMR features","Outcome","Number of training subjects","Lasso","Ridge","Elastic net","Random forest","KDPI"
"1","1_yr_eGFR","112",334.847226506808,334.92594674157,334.746632209238,341.317585336384,342.756031513744
"2","1_yr_eGFR","112",269.467286977627,269.424680735282,269.583949372894,236.502077082941,318.997725291606
"3","1_yr_eGFR","112",287.995427847654,283.974076677805,286.556676125526,227.024800815042,340.07003551503
"4","1_yr_eGFR","112",259.424763295762,257.817930655948,258.240437710539,175.281102875593,315.896005534416
"5","1_yr_eGFR","112",277.754494097635,278.791988293736,274.484376504919,151.758877822258,329.706828395912
"6","1_yr_eGFR","112",268.27449147778,270.115715523702,266.978673780081,143.956087163317,329.083811522293
"7","1_yr_eGFR","112",275.411411438116,272.232775693974,274.144146693075,148.611007360603,343.903418378619
"8","1_yr_eGFR","112",256.54708596957,252.938188056881,253.266623283201,149.415881622828,324.737707915652
"9","1_yr_eGFR","112",270.426387969879,262.125606695668,262.049571000971,155.128911432519,329.757828836528
"10","1_yr_eGFR","112",265.808474461759,251.3063685935,252.970466522311,152.845221794545,329.720365333118
"11","1_yr_eGFR","112",274.664554584269,264.718938854087,262.843190635792,151.639346182263,333.139104682455
"12","1_yr_eGFR","112",264.355801846523,257.571915691201,256.683456903692,163.84958160806,337.072594554509
"13","1_yr_eGFR","112",268.894212809508,269.342057363818,264.722088063258,158.742663358811,332.574599206308
"14","1_yr_eGFR","112",259.808714028734,260.992996050735,259.299995950676,153.953335576626,333.805068830125
"15","1_yr_eGFR","112",262.058475334127,263.950589138377,265.090525489356,148.500184916554,326.655107054827
"16","1_yr_eGFR","112",264.021617042513,268.781178288938,273.605077581059,160.000056920013,351.539052668909
"17","1_yr_eGFR","112",271.982978719017,285.25304222833,278.424494455953,157.586114934102,340.818088082878
"18","1_yr_eGFR","112",254.715123019146,255.735570282686,264.129565827897,153.212526776198,329.970507382152
"19","1_yr_eGFR","112",271.978740218362,273.280401269977,278.858771239322,167.430302084167,327.369666296675
"20","1_yr_eGFR","112",271.235646004283,268.567265591758,274.645961143193,172.825437824498,341.832227262317
"21","1_yr_eGFR","112",269.073204395504,264.229019324017,274.813728854066,185.645916334088,334.751083115816
"22","1_yr_eGFR","112",277.675072116687,269.333060358821,280.657271353321,187.82468126037,336.35217956414
